Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Bastard,Radical Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/Gf2Ty8fX/Radical-Cover.jpg
Bastard,Radical Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/Qjt6tnTr/Radical-Cover-2.png
Bastard,Radical Cover 3,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/ycFXVHPN/Radical-Cover-3.png
Bastard,Radical Back Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/20yzPFkD/Radical-Back-Cover.png
Bastard,Peach Fuzz Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/3YYVjJ2X/Peach-Fuzz-Cover.jpg
Bastard,She Wont A Young Nigga Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/0pzWJRd0/She-Wont-A-Young-Nigga-Cover.jpg
Goblin,Goblin Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/q3JTQrgz/Goblin-Cover.jpg
Goblin,Goblin CD Back Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/x8Bpp1nP/Goblin-CD-Back-Cover.jpg
Goblin,Goblin Deluxe Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/tP2xscS9/Goblin-Deluxe-Cover.jpg
Goblin,Goblin Deluxe CD Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/YFsKJXQy/Goblin-Deluxe-CD-Cover.png
Goblin,Yonkers Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/V57YZqK/Yonkers-Cover.jpg
Goblin,She Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/4ZRQw9zw/She-Cover.png
Wolf,Wolf Cover 1,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/1JjLYgBj/Wolf-Cover-1.png
Wolf,Wolf Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/nhG0yz3/Wolf-Cover-2.jpg
Wolf,Wolf Back Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/KjsmVXPg/Wolf-Back-Cover.png
Wolf 2012,Wolf 2012 Cover,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/xS4gBJKB/Wolf-2012-Cover.jpg
Wolf 2010,Wolf 2010 Cover 1,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/JjYGWz4G/Wolf-2010-Cover-1.png
Wolf 2010,Wolf 2010 Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/Ndv5ngxW/Wolf-2010-Cover-2.png
Wolf 2010,Wolf 2010 CD Cover,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/pB2mRVwm/Wolf-2010-CD-Cover.png
Cherry Bomb,Soundz On Acid Cover 1,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/pBsyCsP4/Soundz-On-Acid-Cover-1.png
Flower Boy,Flower Boy Cover 1,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/fdGNZJ7C/Flower-Boy-Cover-1.jpg
Flower Boy,Flower Boy Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/VWPJTd2g/Flower-Boy-Cover-2.jpg
Flower Boy,Flower Boy Back Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/wrK2pPds/Flower-Boy-Back-Cover.jpg
Flower Boy,Scum Fuck Flower Boy Cover,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/dJGG2rG9/Scum-Fuck-Flower-Boy-Cover.png
Flower Boy,Who Dat Boy 911 Cover,,Unknown,Cover Art,,Single,Unused,https://i.ibb.co/8GRwDdq/Who-Dat-Boy-911-Cover.jpg
Flower Boy,OKRA Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/r2PStT8Y/OKRA-Cover.jpg
Flower Boy,GELATO Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/FL7rvrZm/GELATO-Cover.png
IGOR,IGOR Cover 1,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/CKxXxPyZ/IGOR-Cover-1.jpg
IGOR,IGOR Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/tPCs13MK/IGOR-Cover-2.jpg
IGOR,IGOR Cover 3,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/27znTzxR/IGOR-Cover-3.jpg
IGOR,IGOR Cover 4,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/XfQ5Ps2L/IGOR-Cover-4.jpg
IGOR,IGOR Cover 5,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/27NjnfXB/IGOR-Cover-5.jpg
IGOR,IGOR Cover 6 (Recreation),,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/qzNSszD/IGOR-Cover-6-recreation.jpg
IGOR,IGOR Cover 7 (Recreation),,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/Rpz87fgp/IGOR-Cover-7-Recreation.jpg
IGOR,IGOR Cover 8 (Recreation),,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/21yrh9N3/IGOR-Cover-8-recreation.jpg
IGOR,TIPTOE Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/V0tYw7Ws/TIPTOE-Cover.jpg
IGOR,Tell Me How Cover,,Unknown,Cover Art,,Single,Unused,https://i.ibb.co/TMhcZjZb/Tell-Me-How-Cover.jpg
CALL ME IF YOU GET LOST,LUMBERJACK Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/hRKJqmdM/LUMBERJACK-Cover.jpg
CALL ME IF YOU GET LOST,Sandwiches Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/HL4g7b5P/Sandwiches-Cover.jpg
CALL ME IF YOU GET LOST,Sandwiches Censored Cover,,Unknown,Cover Art,,Single,Unused,https://i.ibb.co/csnY994/Sandwiches-Censored-Cover.jpg
CALL ME IF YOU GET LOST,Sprint Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/bMsJ02dc/Sprint-Cover.png
CALL ME IF YOU GET LOST,Splatter Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/PGjMQxj1/Splatter-Cover.jpg
CHROMAKOPIA,Stereotype Cover 1,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/TqMh0Z8r/Stereotype-Cover-1.png
CHROMAKOPIA,Stereotype Cover 2,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/N6SXswts/Stereotype-Cover-2.png
CHROMAKOPIA,Stereotype Cover 3,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/fV0pCPdX/Stereotype-Cover-3.png
CHROMAKOPIA,Stereotype Cover 4,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/8DXNdyqh/Stereotype-Cover-4.png
CHROMAKOPIA,Stereotype Cover 5,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/5WGhWxVh/Stereotype-Cover-5.png
CHROMAKOPIA,Stereotype Cover 6,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/BK20qYqT/Stereotype-Cover-6.png
CHROMAKOPIA,Stereotype Cover 7,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/twftSMGg/Stereotype-Cover-7.png
CHROMAKOPIA,Stereotype Cover 8,,Unknown,Cover Art,,Album,Unused,https://i.ibb.co/7swqtGX/Stereotype-Cover-8.jpg
CHROMAKOPIA,Stereotype Back Cover,,Unknown,Cover Art,,Album,Used,https://i.ibb.co/XZ1HqRxg/Stereotype-Back-Cover.png
CHROMAKOPIA,VCR Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/Nd6kcrrN/VCR-Cover.jpg
CHROMAKOPIA,VCR Cover 2,,Unknown,Cover Art,,Single,Unused,https://i.ibb.co/hF5nFXn3/VCR-Cover-2.png
CHROMAKOPIA,Tall Dino,,Unknown,Promo Art,,Single,Used,https://i.ibb.co/SD99X4Bp/Tall-Dino.png
CHROMAKOPIA,Lisa Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/7NzjF2dw/Lisa-Cover.jpg
CHROMAKOPIA,Estate Sale,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/kVX4P36C/Estate-Sale.webp
CHROMAKOPIA,Puff Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/QjtX4Sby/Puff-Cover.jpg
Odd Future Tape,Odd Future Tape Cover,,Unknown,Cover Art,,Mixtape,Used,https://i.ibb.co/chSyGqgc/Odd-Future-Tape-Cover.png
Odd Future Tape,Odd Future Tape Cover 2,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/rGFHpNW9/Odd-Future-Tape-Cover-2.png
Odd Future Tape,Odd Future Tape Back Cover,,Unknown,Cover Art,,Mixtape,Used,https://i.ibb.co/RRfgrqp/Odd-Future-Tape-Back-Cover.jpg
Odd Future Tape,Odd Toddlers Cover,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/3yf1TBTC/Odd-Toddlers-Cover.png
Odd Future Tape Vol. 2,Odd Future Tape Vol. 2 Cover 1,,Unknown,Cover Art,,Mixtape,Used,https://i.ibb.co/fd4GSM9H/Odd-future-tape-vol-2-Cover-1.jpg
Odd Future Tape Vol. 2,Odd Future Tape Vol. 2 Cover 2,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/Psw3qn6C/Odd-future-tape-vol-2-cover-2.jpg
Odd Future Tape Vol. 2,Odd Future Tape Vol. 2 Cover 3,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/DgPw8b7K/Odd-future-tape-vol-2-cover-3.jpg
Odd Future Tape Vol. 2,Odd Future Tape Vol. 2 Cover 4,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/JRttxbd5/Odd-future-tape-vol-2-cover-4.jpg
Odd Future Tape Vol. 2,Odd Future Tape Vol. 2 Cover 5,,Unknown,Cover Art,,Mixtape,Unused,https://i.ibb.co/D3zy8zc/Odd-future-tape-vol-2-cover-5.jpg
ZIPLOC,ZIPLOC Cover,,Unknown,Cover Art,,Single,Used,https://i.ibb.co/gL3Fzygf/ZIPLOC-Cover.jpg
ZIPLOC,ZC BASE IMAGE,,Unknown,Cover Art,,Single,Unused,https://i.ibb.co/y3QkhRk/ZC-BASE-IMAGE.png
Misc,The Special Olympics Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/TBH0BRsc/The-Special-Olympics-Cover.png
Misc,Slow It Down Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/tpRX05NF/Slow-It-Down-Cover.png
Misc,Seven Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/pBsnvpkn/Seven-Cover.png
Misc,Rose Tinted Cheeks Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/qVGspsq/Rose-Tinted-Cheeks-Cover.jpg
Misc,Radio Arcade Cover 1,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/Mk9Zdvzx/Radio-Arcade-Cover-1.png
Misc,Radio Arcade Cover 2,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/wZPMHnKv/Radio-Arcade-Cover-2.png
Misc,Radio Arcade Cover 3,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/k6hLRHR3/Radio-Arcade-Cover-3.png
Misc,Radio Arcade Promo Image 1,,Unknown,Promo Art,,Misc,Unused,https://i.ibb.co/6RnSMG3j/Radio-Arcade-Promo-Image-1.png
Misc,Radio Arcade Promo Image 2,,Unknown,Promo Art,,Misc,Unused,https://i.ibb.co/v66nZv8L/Radio-Arcade-Promo-Image-2.png
Misc,Quartz Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/zWgnFZg9/Quartz-Cover.jpg
Misc,Potato Salad Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/0jDr95Ds/Potato-Salad-Cover.jpg
Misc,Pigs Fly Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/dwkrJwDN/Pigs-Fly-Cover.png
Misc,Possible Dinosaur Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/d4m3PRNK/Possible-Dinosaur-Cover.jpg
Misc,Personal Stache Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/FLgqHJm6/Personal-Stache-cover-base-image.png
Misc,Nilbog Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/7tgPW7db/Nilbog-Cover.jpg
Misc,Locked Away Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/pr9FM3jb/Locked-away-cover.png
Misc,Jack And The Beanstalk Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/vnjkQzn/Jack-And-The-Beanstalk-Cover.png
Misc,Inside Of Clouds Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/FkYc7BMB/Inside-Of-Clouds-Cover.jpg
Misc,Ill Cab Tv Thief Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/3yCG8zgS/Ill-Cab-Tv-Thief-Cover.png
Misc,GROUP B Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/dwRJhZWQ/GROUP-B-Cover.jpg
Misc,Grinch EP Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/MD1d4gFT/Grinch-EP-Cover.jpg
Misc,Fawn Cover,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/MDDHcwbK/Fawn-Cover.jpg
Misc,Eargasm Cover 1,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/WWk9Rfg4/Eargasm-Cover-1.png
Misc,Eargasm Cover 2,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/SXZ99ZRh/Eargasm-Cover-2.png
Misc,Eargasm Cover 3,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/PGvHrJ7X/Eargasm-Cover-3.png
Misc,Eargasm Cover 4,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/JFm0ByGV/Eargasm-Cover-4.png
Misc,Eargasm Cover 5,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/JR6Ky304/Eargasm-Cover-5.png
Misc,Eargasm Cover 6,,Unknown,Cover Art,,Misc,Unused,https://i.ibb.co/V0g2g3TL/Eargasm-Cover-6.png
